Object,Field_API_Name,Field_Label,Data_Type,Required,Picklist_Values,Lookup_Target_Object,Default_Value,Help_Text,Calc_Flag
Fleet_Branch__c,fleetforce__Primary_Contact__c,Primary Contact,reference,,,Contact,,,
Fleet_Branch__c,fleetforce__Schedule__c,Schedule,reference,,,fleetforce__Fleet_Schedule__c,,,
Fleet_Branch__c,fleetforce__Status__c,Status,picklist,,Active|Closed (Permanent)|Closed (Temporary)|Renovating,,,,
Fleet_Branch__c,fleetforce__Street__c,Street Address,string,,,,,,
Fleet_Branch__c,fleetforce__Time_Zone__c,Time Zone,picklist,,Eastern|Central|Mountain|Pacific|Alaska|Hawaii,,Eastern,,
Fleet_Branch__c,fleetforce__Type__c,Location Type,picklist,,Hub|Satellite|HQ|Service Center|Parking Lot|Warehouse,,,,
Fleet_Branch__c,fleetforce__US_State__c,State,picklist,,AL|AK|AZ|AR|CA|CO|CT|DE|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY|DC,,,Used for US states only.,
Fleet_Branch__c,fleetforce__Website__c,Website,url,,,,,,
Fleet_Branch__c,fleetforce__Zip_Code__c,Zip/Postal Code,string,,,,,,
Fleet_Asset__c,OwnerId,Owner ID,reference,Yes,,Group|User,,,
Fleet_Asset__c,Name,Name,string,,,,,,
Fleet_Asset__c,fleetforce__Agreement_Line__c,Agreement Line Item,reference,,,fleetforce__Agreement_Line__c,,,
Fleet_Asset__c,fleetforce__Agreement__c,Agreement,reference,,,fleetforce__Agreement__c,,,
Fleet_Asset__c,fleetforce__Asset_ID__c,Asset ID,string,,,,,,
Fleet_Asset__c,fleetforce__Battery_Capacity_kWh__c,Battery Capacity (kWh),double,,,,,,
Fleet_Asset__c,fleetforce__Body_Type__c,Body Type,picklist,,Sedan|Coupe|Hatchback|Convertible|Wagon|SUV|Pickup|Truck|Minivan|Van|Motorcycle|Other,,,,
Fleet_Asset__c,fleetforce__Branch__c,Branch,reference,,,fleetforce__Fleet_Branch__c,,,
Fleet_Asset__c,fleetforce__Color__c,Color,picklist,,White|Black|Gray|Silver|Red|Blue|Brown|Beige|Green|Orange|Yellow|Purple|Gold|Other,,,,
Fleet_Asset__c,fleetforce__Drive_Type__c,Drive Type,picklist,,FWD|RWD|AWD|4WD|6WD|Other,,,,
Fleet_Asset__c,fleetforce__Driver__c,Driver,reference,,,Contact,,,
Fleet_Asset__c,fleetforce__Engine_Type__c,Engine Type,picklist,,Diesel|ICE|Electric|Hybrid|Hydrogen|Plug-In,,,,
Fleet_Asset__c,fleetforce__Fuel_Capacity__c,Fuel Capacity,double,,,,,,
Fleet_Asset__c,fleetforce__Fuel_Energy_Level__c,Fuel/Energy Level,percent,,,,,,
Fleet_Asset__c,fleetforce__Fuel_Type__c,Fuel Type,picklist,,Gasoline|Diesel|Electric|Hybrid|Plug-in Hybrid|Hydrogen|CNG|Propane|Flex Fuel|Other,,,,
Fleet_Asset__c,fleetforce__Gross_Weight__c,Gross Weight (GVW),double,,,,,,
Fleet_Asset__c,fleetforce__Height__c,Height,double,,,,,,
Fleet_Asset__c,fleetforce__Is_Active__c,Active,boolean,Yes,,,False,,
Fleet_Asset__c,fleetforce__Key_Tag_ID__c,Key Tag ID,string,,,,,,
Fleet_Asset__c,fleetforce__Last_Location__Latitude__s,Last Location (Latitude),double,,,,,,
Fleet_Asset__c,fleetforce__Last_Location__Longitude__s,Last Location (Longitude),double,,,,,,
Fleet_Asset__c,fleetforce__Last_Location__c,Last Location,location,,,,,,
Fleet_Asset__c,fleetforce__License_Plate__c,License Plate,string,,,,,,
Fleet_Asset__c,fleetforce__Max_Range__c,Max Range,double,,,,,,
Fleet_Asset__c,fleetforce__Odometer__c,Odometer,double,,,,,,
Fleet_Asset__c,fleetforce__Ownership__c,Ownership,picklist,,Owned|Leased|Financed|Reimbursed|Sub Lease|Other,,,,
Fleet_Asset__c,fleetforce__Paint_Name__c,Paint Name,string,,,,,,
Fleet_Asset__c,fleetforce__Purchase_Date__c,Purchase Date,date,,,,,,
Fleet_Asset__c,fleetforce__Purchase_Price__c,Purchase Price,currency,,,,,,
Fleet_Asset__c,fleetforce__Registered_State__c,Registered State,picklist,,AL|AK|AZ|AR|CA|CO|CT|DE|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY|DC,,,Used for US states only.,
Fleet_Asset__c,fleetforce__Residual_Value__c,Residual Value,currency,,,,,,
Fleet_Asset__c,fleetforce__Seat_Count__c,Seat Count,double,,,,,,
Fleet_Asset__c,fleetforce__Serial__c,Serial,string,,,,,,
Fleet_Asset__c,fleetforce__Status__c,Status,picklist,,Ordered|Available|Assigned|Decommissioned|Retired,,,,
Fleet_Asset__c,fleetforce__Transmission__c,Transmission,picklist,,Automatic|Manual|CVT|Dual Clutch,,,,
Fleet_Asset__c,fleetforce__VIN__c,VIN,string,,,,,,
Fleet_Asset__c,fleetforce__Vehicle_Class__c,Vehicle Class,picklist,,Mini|Economy|Compact|Intermediate|Standard|Full Size|Luxury|Motorcycle|Commercial|Heavy Machinery|Aviation|Other,,,,
Fleet_Asset__c,fleetforce__Vendor__c,Vendor/FMC,reference,,,Account,,,
Fleet_Asset__c,fleetforce__Total_Maintenance_Cost__c,Total Maintenance Cost,currency,,,,,,
Authorized_Driver__c,Name,Name,string,,,,,,
Authorized_Driver__c,fleetforce__Fleet_Asset__c,Fleet Asset,reference,Yes,,fleetforce__Fleet_Asset__c,,,
Authorized_Driver__c,fleetforce__Driver__c,Driver (Contact),reference,,,Contact,,,
Authorized_Driver__c,fleetforce__Has_Key__c,Key Access,boolean,Yes,,,False,,
Authorized_Driver__c,fleetforce__Is_Active__c,Is Active,boolean,Yes,,,False,,
Authorized_Driver__c,fleetforce__Type__c,Authorization Type,picklist,,Primary|Secondary|Occasional|Temporary,,Primary,,
Telemetry_Violation__c,OwnerId,Owner ID,reference,Yes,,Group|User,,,
Telemetry_Violation__c,Name,Name,string,,,,,,
Telemetry_Violation__c,fleetforce__Driver__c,Driver,reference,,,Contact,,,
Telemetry_Violation__c,fleetforce__Equipment__c,Equipment,reference,,,fleetforce__Telematics_Equipment__c,,,
Telemetry_Violation__c,fleetforce__Fleet_Asset__c,Fleet Asset,reference,,,fleetforce__Fleet_Asset__c,,,
Telemetry_Violation__c,fleetforce__Is_Ack__c,Is Acknowledged,boolean,Yes,,,False,,
Telemetry_Violation__c,fleetforce__Limit__c,Limit / Threshold,string,,,,,,
Telemetry_Violation__c,fleetforce__Location__Latitude__s,Location (Latitude),double,,,,,,
Telemetry_Violation__c,fleetforce__Location__Longitude__s,Location (Longitude),double,,,,,,
Telemetry_Violation__c,fleetforce__Location__c,Location,location,,,,,,
Telemetry_Violation__c,fleetforce__Notes__c,Review Notes,textarea,,,,,,
Telemetry_Violation__c,fleetforce__Severity__c,Severity,picklist,,Low|Medium|High|Critical,,,,
Telemetry_Violation__c,fleetforce__Timestamp__c,Timestamp,datetime,,,,,,
Telemetry_Violation__c,fleetforce__Type__c,Violation Type,picklist,,Speeding|Harsh Braking|Harsh Acceleration|Idling|Geofence Breach|Diagnostic Fault|Seatbelt|Engine Overtemp,,,,
Telemetry_Violation__c,fleetforce__Value__c,Recorded Value,string,,,,,,
Service_Ticket__c,Name,Name,string,,,,,,
Service_Ticket__c,fleetforce__Fleet_Asset__c,Fleet Asset,reference,Yes,,fleetforce__Fleet_Asset__c,,,
Service_Ticket__c,fleetforce__Actual_End__c,Actual End,date,,,,,,
Service_Ticket__c,fleetforce__Actual_Start__c,Actual Start,date,,,,,,
Service_Ticket__c,fleetforce__Category__c,Ticket Type,picklist,,Preventive Maintenance|Corrective Repair|Inspection|Telemetry Alert|Warranty|Other,,,,
Service_Ticket__c,fleetforce__Date_Reported__c,Date Reported,datetime,,,,,,
Service_Ticket__c,fleetforce__Description__c,Description,textarea,,,,,,
Service_Ticket__c,fleetforce__Due_Date__c,Due Date,date,,,,,,
Service_Ticket__c,fleetforce__Fixed_Cost__c,Fixed Price,currency,,,,,"Use only for flat-rate jobs (e.g., 'Brake Special $99'). This amount is added in addition to any Parts/Labor entered.",
Service_Ticket__c,fleetforce__Is_Labor_Taxable__c,Tax Labor?,boolean,Yes,,,False,Check this box if the state/jurisdiction requires sales tax on service labor.,
Service_Ticket__c,fleetforce__Misc_Fees__c,Misc / Fees,currency,,,,,"Disposal fees, shop supplies, or environmental charges.",
Service_Ticket__c,fleetforce__Odometer__c,Odometer,double,,,,,,
Service_Ticket__c,fleetforce__Priority__c,Priority,picklist,,Critical|High|Medium|Low,,,,
Service_Ticket__c,fleetforce__Reported_By__c,Reported By,reference,,,Contact,,,
Service_Ticket__c,fleetforce__Scheduled_End__c,Scheduled End,date,,,,,,
Service_Ticket__c,fleetforce__Scheduled_Start__c,Scheduled Start,date,,,,,,
Service_Ticket__c,fleetforce__Status__c,Status,picklist,,Draft|In-Shop|Completed,,Draft,,
Service_Ticket__c,fleetforce__Summary__c,Summary,string,,,,,,
Service_Ticket__c,fleetforce__Tax_Rate__c,Tax Rate,percent,,,,,,
Service_Ticket__c,fleetforce__Total_Labor_Cost__c,Total Labor Cost,currency,,,,,,
Service_Ticket__c,fleetforce__Total_Parts_Cost__c,Total Parts Cost,currency,,,,,,
Service_Ticket__c,fleetforce__Vendor__c,Vendor,reference,,,Account,,,
Service_Ticket__c,fleetforce__Violation_Source__c,Violation Source,reference,,,fleetforce__Telemetry_Violation__c,,,
Service_Ticket__c,fleetforce__Grand_Total__c,Grand Total,currency,,,,,"The final amount payable. Includes Parts, Labor, Misc fees, and Tax. Note: Labor is only taxed if the ""Tax Labor?"" box is checked.",Formula
Service_Ticket__c,fleetforce__In_Shop__c,In Shop,boolean,,,,,,Formula
Reservation__c,OwnerId,Owner ID,reference,Yes,,Group|User,,,
Reservation__c,Name,Name,string,,,,,,
Reservation__c,fleetforce__Approval_Date__c,Approval Date,datetime,,,,,,
Reservation__c,fleetforce__Assigned_Asset__c,Assigned Asset,reference,,,fleetforce__Fleet_Asset__c,,,
Reservation__c,fleetforce__Cancel_Reason__c,Cancellation Reason,picklist,,No Longer Needed|Found Alternative|Vehicle Unavailable|Personal Emergency|Other,,No Longer Needed,,
Reservation__c,fleetforce__Cost_Center__c,Cost Center,string,,,,,,
Reservation__c,fleetforce__Destination_Branch__c,Destination Branch,reference,,,fleetforce__Fleet_Branch__c,,,
Reservation__c,fleetforce__End_Time__c,End Time,datetime,,,,,,
Reservation__c,fleetforce__Guest_Email__c,Guest Email,email,,,,,,
Reservation__c,fleetforce__Guest_First_Name__c,Guest First Name,string,,,,,,
Reservation__c,fleetforce__Guest_Last_Name__c,Guest Last Name,string,,,,,,
Reservation__c,fleetforce__Guest_Phone__c,Guest Phone,phone,,,,,,
Reservation__c,fleetforce__Min_Seats__c,Min Seats,double,,,,,,
Reservation__c,fleetforce__Origin_Branch__c,Origin Branch,reference,,,fleetforce__Fleet_Branch__c,,,
Reservation__c,fleetforce__Preferred_Body__c,Preferred Body,picklist,,Sedan|SUV|Pickup|Truck|Van|Minivan|Wagon|Other,,Sedan,,
Reservation__c,fleetforce__Preferred_Engine__c,Preferred Engine,picklist,,Gasoline|Diesel|Electric|Hybrid|Any,,Gasoline,,
Reservation__c,fleetforce__Priority__c,Priority,picklist,,Low|Medium|High|Critical,,Low,,
Reservation__c,fleetforce__Rejection_Reason__c,Rejection Reason,string,,,,,,
Reservation__c,fleetforce__Requestor_Contact__c,Requesting Driver,reference,,,Contact,,,
Reservation__c,fleetforce__Requestor_User__c,Requesting User,reference,,,User,,,
Reservation__c,fleetforce__Start_Time__c,Start Time,datetime,,,,,,
Reservation__c,fleetforce__Status__c,Status,picklist,,Draft|Pending|Approved|Active|Completed|Cancelled|Rejected,,Draft,,
