"Object","Field Label","API Name","Data Type","Logic / Requirement","Picklist Values","Global (Y/N)"
"Reservation","Assigned Asset","Assigned_Asset__c","Lookup","Lookup(Fleet_Asset__c). Populated by the Manager or the Auto-Assign LWC.","",""
"Reservation","Cost Center","Cost_Center__c","Text(50)","Financials. Used for internal billing/chargebacks.","",""
"Reservation","Rejection Reason","Rejection_Reason__c","Text(255)","Required if Status = Rejected.","",""
"Reservation","Cancellation Reason","Cancel_Reason__c","Picklist","User Cancelled, No Show, Weather, Mechanical Issue.","",""
"Reservation","Approval Date","Approval_Date__c","DateTime","Timestamp of when the Manager clicked ""Approve"".","",""
"Allocation","Allocation ID","Name","Auto-Number","AL-{000000}","",""
"Allocation","Fleet Asset","Fleet_Asset__c","Master-Detail","Parent Vehicle. Allows Roll-Up Summaries (e.g., ""Total Miles Driven"").","",""
"Allocation","Driver (Contact)","Driver__c","Lookup(Contact)","The Human. Filter: RecordType='Fleet Driver'. Who is legally responsible?","",""
"Allocation","Reservation","Reservation__c","Lookup","Optional. Links to the request. If blank, this is a ""Walk-Up"" or ""Yard Move"".","",""
"Allocation","Status","Status__c","Picklist","Active, Completed, Cancelled. Controls the Asset's Op_Status__c.","Pending, Confirmed, Active, Completed, Cancelled.",""
"Allocation","Origin Branch","Origin_Branch__c","Lookup","Defaults to Fleet_Asset__c.Home_Branch__c at checkout.","",""
"Allocation","Return Branch","Return_Branch__c","Lookup","One-Way Logic. If different from Origin, triggers an inventory move.","",""
"Allocation","Scheduled Start","Scheduled_Start__c","DateTime","Inherited from Reservation (for ""Late Pickup"" reporting).","",""
"Allocation","Scheduled End","Scheduled_End__c","DateTime","Inherited from Reservation (for ""Overdue"" reporting).","",""
"Allocation","Actual Check-Out","Actual_Check_Out__c","DateTime","Possession Start. Timestamp when keys were handed over.","",""
"Allocation","Actual Check-In","Actual_Check_In__c","DateTime","Possession End. Timestamp when returned. Updates Asset Status to ""In Service"".","",""
"Allocation","Odometer Start","Odometer_Start__c","Number(12,1)","Chain of Custody. Pre-populated from Fleet_Asset__c.Current_Odometer__c.","",""
"Allocation","Odometer End","Odometer_End__c","Number(12,1)","Input upon return. Triggers update to Asset Odometer.","",""
"Allocation","Trip Distance","Distance_Driven__c","Formula","Odometer_End__c - Odometer_Start__c.","",""
"Allocation","Fuel Level Out","Fuel_Level_Out__c","Percent(3,0)","e.g., 100% (Full).","",""
"Allocation","Fuel Level In","Fuel_Level_In__c","Percent(3,0)","e.g., 50%. If < 25%, triggers a ""Refuel Required"" task.","",""
"Allocation","Condition Out","Condition_Out__c","Long Text","Notes on existing scratches/dents before leaving.","",""
"Allocation","Condition In","Condition_In__c","Long Text","Notes on new damage upon return.","",""
"Allocation","Damage Flag","Has_New_Damage__c","Checkbox","If True, triggers a flow to create a Service Ticket.","",""
"Allocation","Same Branch Return","Same_Branch_Return__c","Checkbox","When true, enforces same branch return.","",""
"Availability Blackout","Blackout Name","Name","Auto-Number","BLK-{00000}","",""
"Availability Blackout","Fleet Asset","Fleet_Asset__c","Master-Detail","The specific car being blocked.","",""
"Availability Blackout","Start Time","Start_Time__c","DateTime","","",""
"Availability Blackout","End Time","End_Time__c","DateTime","","",""
"Availability Blackout","Reason","Reason__c","Picklist","","Reservation, Maintenance, Allocation, Grounded.",""
"Availability Blackout","Source Record ID","Source_ID__c","Text(18)","The ID of the Reservation or Ticket causing this block (Polymorphic link).","",""
"Driver (Contact)","Contact Type","Contact_Type__c","Picklist","Critical. Value = ""Fleet Driver"". Separates drivers from other contacts.","",""
"Driver (Contact)","License Number","License_Number__c","Text(50)","Compliance Anchor. Primary ID for legal checks.","",""
"Driver (Contact)","License Expiry","License_Expiry__c","Date","Triggers automated ""License Expiring"" alerts.","",""
"Driver (Contact)","License Class","License_Class__c","Picklist","B (Car), C (Truck), D (Bus), Forklift.","",""
"Driver (Contact)","Safety Score","Safety_Score__c","Number(3,0)","Calculated via Telemetry Violations (0-100).","",""
"Driver (Contact)","Medical Cert Date","Medical_Cert__c","Date","Required for heavy vehicle drivers (Truck/Bus).","",""
"Driver (Contact)","Driver Status","Driver_Status__c","Picklist","Active, Suspended, Medical Leave, Terminated.","",""
"Driver (Contact)","Related User","Related_User__c","Lookup(User)","Optional. Links the Contact to a Login User (if they use the Mobile App).","",""
"Driver (Contact)","Driver Branch","Driver_Branch__c","Lookup(Fleet_Branch__c)","","",""
"Driver Qualification","Qualification Name","Name","Text(80)","e.g., ""Hazmat Cert"", ""Spanish Language"", ""VIP Protocol"".","",""
"Driver Qualification","Driver","Driver__c","Master-Detail","Parent Contact (RecordType: Fleet Driver).","",""
"Driver Qualification","Type","Type__c","Picklist","Critical Split.","Certification, Internal Skill, Language, Access Badge.",""
"Driver Qualification","Proficiency Level","Proficiency__c","Picklist"," Mainly for Languages/Internal Skills","1 - Beginner, 2 - Intermediate, 3 - Expert, 4 - Native.",""
"Driver Qualification","Issuing Authority","Authority__c","Text(100)","e.g., ""Dept of Transport"" OR ""Internal HR"".","",""
"Driver Qualification","Certification ID","Cert_ID__c","Text(50)","External ID (only if Category = Certification).","",""
"Driver Qualification","Valid From","Valid_From__c","Date","","",""
"Driver Qualification","Valid Until","Valid_Until__c","Date","Required only if Does_Expire__c is TRUE.","",""
"Driver Qualification","Does Expire?","Does_Expire__c","Checkbox","Automation Logic. If False (e.g., Language), the Status formula ignores the date.","",""
"Driver Qualification","Status","Status__c","Formula","IF(Does_Expire__c && Valid_Until__c < TODAY(), ""Expired"", ""Active"").","",""
"Driver Qualification","Is Mandatory?","Is_Mandatory__c","Checkbox","If True + Status=""Expired"", this grounds the driver (sets Contact.Status to Suspended).","",""
"Driver Qualification","Verification URL","Verification_URL__c","URL","Link to scanned doc or HR portal.","",""
"Authorized Driver","Authorization ID","Name","Auto-Number","AUTH-{0000}","",""
"Authorized Driver","Fleet Asset","Fleet_Asset__c","Master-Detail","The vehicle.","",""
"Authorized Driver","Driver (Contact)","Driver__c","Master-Detail","The human.","",""
"Authorized Driver","Authorization Type","Type__c","Picklist","Permanent, Temporary, Emergency.","",""
"Authorized Driver","Is Active","Is_Active__c","Checkbox","Unchecking this revokes access without deleting history.","",""
"Authorized Driver","Key Access","Has_Key__c","Checkbox","Does this driver physically hold a spare key for this car?","",""
"Fuel Log","Fuel Log ID","Name","Auto-Number","FL-{000000}","",""
"Fuel Log","Fleet Asset","Fleet_Asset__c","Master-Detail","Parent Vehicle. Roll-up costs to Asset.","",""
"Fuel Log","Driver (Contact)","Driver__c","Lookup(Contact)","The human at the pump.","",""
"Fuel Log","Fuel Card","Fuel_Card__c","Lookup","The payment method used.","",""
"Fuel Log","Transaction Date","Transaction_Date__c","DateTime","Actual pump time (from receipt/integration).","",""
"Fuel Log","Vendor / Station","Vendor_Name__c","Text(100)","e.g., ""Shell Station #402"".","",""
"Fuel Log","Station Location","Station_Geo__c","Geolocation","Wolf Feature. Lat/Long of the pump. Used to cross-reference against Asset Telemetry location (Was the truck actually there?).","",""
"Fuel Log","Product Type","Product_Type__c","Picklist","Distinguishing AdBlue is critical as it is an operational fluid, not fuel.","Diesel, Petrol, AdBlue (DEF), Electric Charge.","Yes"
"Fuel Log","Fuel Volume","Volume__c","Number(10,3)","Amount added.","",""
"Fuel Log","Unit of Measure","UOM__c","Picklist","Critical for normalizing global reports.","Liters, Gallons (US), kWh.","Yes"
"Fuel Log","Cost Per Unit","Unit_Cost__c","Currency(10,3)","Price per Liter/Gallon.","",""
"Fuel Log","Tax Amount","Tax_Amount__c","Currency(10,2)","CFO Requirement. VAT/GST amount for reclamation. Separated from Total Cost.","",""
"Fuel Log","Total Cost","Total_Cost__c","Currency(12,2)","The final charge amount.","",""
"Fuel Log","Odometer","Odometer__c","Number(12,1)","Mileage at the pump. Updates Fleet_Asset__c.Current_Odometer__c.","",""
"Fuel Log","Full Tank?","Full_Tank__c","Checkbox","Critical. You cannot calculate MPG/Efficiency on a partial fill.","",""
"Fuel Log","Distance Since Last","Trip_Distance__c","Number(10,1)","Automation. Populated by Flow: Current_Odometer - Previous_Fuel_Log_Odometer.","",""
"Fuel Log","Calculated Economy","Fuel_Economy__c","Formula","IF(Full_Tank__c, Trip_Distance__c / Volume__c, NULL).","",""
"Fuel Log","Anomaly Flag","Anomaly_Detected__c","Checkbox","Automation. True if: Volume > Asset.Fuel_Capacity OR Fuel_Type != Asset.Fuel_Type.","",""
"Fuel Log","Receipt Image","Receipt_URL__c","URL","Link to image (if using OCR scanning app) or standard Files relationship.","",""
"Fuel Log","External ID","External_ID__c","Text(100)","Unique ID from WEX/Fuelman integrations to prevent duplicates.","",""
"Fuel Card","Card Name","Name","Text(50)","Format: ""Provider - Last 4"" (e.g., ""Shell - 1004""). Do NOT store full number here.","",""
"Fuel Card","Card Token/Full","Full_Card_Number__c","Text(20) (Encrypted)","Optional. Store only if doing direct integrations. Otherwise, omit to reduce liability.","",""
"Fuel Card","Provider","Provider__c","Text(50)","e.g., WEX, Fuelman, Voyager, Shell.","",""
"Fuel Card","Assigned Driver","Assigned_Driver__c","Lookup(Contact)","Lookup to Driver. (Mutually exclusive with Asset recommended).","",""
"Fuel Card","Assigned Asset","Assigned_Asset__c","Lookup","Wolf Feature. Lookup to Fleet_Asset__c. Supports ""Glovebox Cards.""","",""
"Fuel Card","Status","Status__c","Picklist","Active, Suspended, Lost/Stolen, Cancelled.","",""
"Fuel Card","Expiration Date","Expiration_Date__c","Date","Triggers renewal tasks.","",""
"Fuel Card","Daily Limit ($)","Daily_Limit__c","Currency(10,2)","Used for fraud logic: IF(Sum(Daily_Logs) > Limit, Alert).","",""
"Fuel Card","Fuel Type Allowed","Fuel_Type_Allowed__c","Picklist","Cross-reference with Fleet_Asset__c.Engine_Type__c.","Diesel Only, Unleaded Only, Any. ","Yes"
"Fuel Card","PIN Required?","PIN_Required__c","Checkbox","Does the driver need to enter a prompt at the pump?","",""
"Fuel Card","Integration ID","External_ID__c","Text(100)","ID from the fuel network (WEX/FleetCor).","",""
"Carbon Log","Log ID","Name","Auto-Number","CARB-{00000}","",""
"Carbon Log","Fleet Asset","Fleet_Asset__c","Master-Detail","Parent Vehicle. Allows Roll-Up Summaries (e.g., ""Total CO2 this Year"").","",""
"Carbon Log","Source Fuel Log","Fuel_Log__c","Lookup","The transaction that generated this emission.
1. Trigger: When a Fuel_Log__c is created.
2. Logic:
    ◦ If Fuel_Type = Diesel, Emission_Factor = 2.68.
    ◦ If Fuel_Type = Petrol, Emission_Factor = 2.31.
    ◦ If Fuel_Type = Electric, Emission_Factor = [Lookup to Region Grid Intensity].
3. Result: Create Carbon_Log__c automatically.","",""
"Carbon Log","Emission Scope","Scope__c","Picklist","","Scope 1 (Combustion), Scope 2 (Purchased Energy/EV).",""
"Carbon Log","CO2 Produced (kg)","CO2_KG__c","Number(12,4)","Calculated: Fuel_Log.Volume__c * Emission_Factor__c.","",""
"Carbon Log","Emission Factor","Emission_Factor__c","Number(6,4)","The multiplier used (e.g., 2.68 kg CO2 per Liter of Diesel).","",""
"Carbon Log","Calculation Method","Calc_Method__c","Picklist","","Standard EPA, DEFRA (UK), Regional Grid (EV).",""
"Carbon Log","Offset Status","Offset_Status__c","Picklist","","Unmitigated, Partially Offset, Neutralized.",""
"Carbon Log","Date","Date__c","Date","Inherited from Fuel Log.","",""
"Telematics Equipment","Device ID / Name","Name","Text(80)","The Serial Number or Barcode (Searchable).","",""
"Telematics Equipment","Fleet Asset","Fleet_Asset__c","Lookup","Where is it installed right now?","",""
"Telematics Equipment","Equipment Type","Equipment_Type__c","Picklist","GPS Tracker, Dashcam, OBD-II Dongle, Gateway, Temp Sensor.","",""
"Telematics Equipment","IMEI / ICCID","IMEI__c","Text(25)","Cellular ID (Critical for SIM management).","",""
"Telematics Equipment","Manufacturer","Manufacturer__c","Text(50)","e.g., Geotab, CalAmp, Samsara.","",""
"Telematics Equipment","Model","Model__c","Text(50)","","",""
"Telematics Equipment","Firmware Version","Firmware_Ver__c","Text(20)","Wolf Feature. Allows you to report: ""Which devices need an update?""","",""
"Telematics Equipment","Install Date","Install_Date__c","Date","","",""
"Telematics Equipment","Warranty Expiry","Warranty_End__c","Date","","",""
"Telematics Equipment","Status","Status__c","Picklist","Active, In Warehouse, RMA/Faulty, Retired.","",""
"Telematics Equipment","Last Heartbeat","Last_Ping__c","DateTime","Updated by automation. ""Is this device dead?""","",""
"Telemtry Violation","Violation ID","Name","Auto-Number","VIO-{000000}","",""
"Telemtry Violation","Fleet Asset","Fleet_Asset__c","Lookup","The vehicle involved.","",""
"Telemtry Violation","Driver","Driver__c","Lookup","Critical. The human responsible at that exact timestamp.","",""
"Telemtry Violation","Equipment","Equipment__c","Lookup","Link to the specific device (to catch faulty sensors).","",""
"Telemtry Violation","Violation Type","Type__c","Picklist","Critical Speeding, Hard Braking, Hard Cornering, Geofence Exit, Idling > 10m.","",""
"Telemtry Violation","Severity","Severity__c","Picklist","Low (Coaching), Medium (Warning), High (Citation), Critical (Grounding).","",""
"Telemtry Violation","Recorded Value","Value__c","Text(50)","e.g., ""105 MPH"" or ""3.5 G-Force"".","",""
"Telemtry Violation","Limit / Threshold","Limit__c","Text(50)","e.g., ""Speed Limit: 65 MPH"". (Context for the manager).","",""
"Telemtry Violation","Timestamp","Timestamp__c","DateTime","When it happened.","",""
"Telemtry Violation","Location","Location__c","Geolocation","Map pin for the violation.","",""
"Telemtry Violation","Is Acknowledged","Is_Ack__c","Checkbox","Has the manager reviewed this?","",""
"Telemtry Violation","Review Notes","Notes__c","Long Text","""Driver claims sensor error.""","",""
"Telemetry Raw","Asset ID","Asset_ID__c","Text(18)","Index Pos 1. Link to Vehicle (stored as Text, not Lookup).","",""
"Telemetry Raw","Timestamp","Timestamp__c","DateTime","Index Pos 2. Descending order is best for ""Last Known Location.""","",""
"Telemetry Raw","Latitude","Latitude__c","Number(18,15)","Precision is key for maps.","",""
"Telemetry Raw","Longitude","Longitude__c","Number(18,15)","","",""
"Telemetry Raw","Speed (KPH)","Speed__c","Number(4,0)","","",""
"Telemetry Raw","Heading / Bearing","Heading__c","Number(3,0)","Direction (0-360).","",""
"Telemetry Raw","Odometer","Odometer__c","Number(12,1)","Updates the Asset record via Async processes.","",""
"Telemetry Raw","Fuel Level (%)","Fuel_Level__c","Number(3,0)","","",""
"Telemetry Raw","Battery Level (%)","EV_Battery__c","Number(3,0)","For EVs.","",""
"Telemetry Raw","Engine Status","Ignition__c","Text(10)","""On"" / ""Off"".","",""
"Telemetry Raw","Trouble Codes","DTC_Codes__c","Text(255)","Comma-separated engine codes (e.g., P0420).","",""
"Service Ticket","Ticket Number","Name","Auto-Number","SRV-{00000}","",""
"Service Ticket","Fleet Asset","Fleet_Asset__c","Master-Detail","The vehicle being serviced.","",""
"Service Ticket","Ticket Type","Category__c","Picklist","Preventative, Corrective (Driver Report), Emergency (Breakdown), Regulatory (Inspection).","",""
"Service Ticket","Status","Status__c","Picklist","Draft, Open, Waiting for Parts, In Progress, Completed.","",""
"Service Ticket","Priority","Priority__c","Picklist","Low, Normal, High, Critical (Grounded). (Critical flips the Asset's ""Enrolled"" or ""Active"" status).","",""
"Service Ticket","Odometer","Odometer__c","Number(12,1)","Critical for calculating the next maintenance interval.","",""
"Service Ticket","Vendor","Service_Vendor__c","Text(100)","External shop name.","",""
"Service Ticket","Total Cost","Total_Cost__c","Roll-up","Sum of Line Items.","",""
"Service Ticket","Reported By","Reported_By__c","Lookup(User)","Could be a driver (Corrective) or System (Preventative).","",""
"Service Line Item","Item Name","Description__c","Text(255)","e.g., ""5W-30 Synthetic Oil"" or ""Brake Pad Kit"".","",""
"Service Line Item","Service Ticket","Service_Ticket__c","Master-Detail","Parent ticket.","",""
"Service Line Item","Item Type","Type__c","Picklist","Part, Labor, Fee (Disposal/Tax), Discount.","",""
"Service Line Item","Quantity","Quantity__c","Number(8,2)","e.g., 5.0 (Liters) or 2.5 (Hours).","",""
"Service Line Item","Unit Cost","Unit_Price__c","Currency","","",""
"Service Line Item","Total Line","Subtotal__c","Formula","Quantity__c * Unit_Price__c.","",""
"Service Line Item","Asset Component","Asset_Component__c","Lookup","Wolf Feature. Link this part to a specific component (e.g., ""Replacing Battery #123"").","",""
"Maintenance Plan","Plan Name","Name","Text(80)","e.g., ""Heavy Truck - Type A Service"".","",""
"Maintenance Plan","Frequency Type","Frequency_Type__c","Picklist","Odometer, Time, Engine Hours.","",""
"Maintenance Plan","Interval","Interval_Value__c","Number(10,0)","e.g., 5000 (Miles) or 180 (Days).","",""
"Maintenance Plan","Warning Threshold","Warning_Miles__c","Number","Create ""Due Soon"" alert X miles before the limit.","",""
"Maintenance Plan","Asset Type","Asset_Type__c","Picklist","Which vehicles does this apply to?","",""
"Maintenance Plan","Recurring?","Is_Recurring__c","Checkbox","Does it auto-renew after completion?","",""
"Vendor Rate Card","Vendor / Account","Vendor__c","Lookup(Account)","The external shop or FMC.","",""
"Vendor Rate Card","Service Type","Service_Type__c","Picklist","Oil Change, Tire Rotation, Brake Pad Replacement, Labor (Hourly).","",""
"Vendor Rate Card","Negotiated Rate","Negotiated_Rate__c","Currency(12,2)","The contract price (e.g., $50.00).","",""
"Vendor Rate Card","Region","Region__c","Picklist","Global, US-West, EU-Central, Israel. (Allows different prices for different locations).","",""
"Vendor Rate Card","Effective Date","Effective_Date__c","Date","","",""
"Vendor Rate Card","Expiration Date","Expiration_Date__c","Date","","",""
"Insurance Policy","Policy Number","Name","Text(80)","The external Policy ID (Primary Key for the Insurance Carrier).","",""
"Insurance Policy","Provider","Provider__c","Text(100)","e.g., AIG, Allianz, Harel, Menora.","",""
"Insurance Policy","Policy Type","Policy_Type__c","Picklist","Liability (Chova), Comprehensive (Mekif), Cargo, Third Party, Umbrella.","",""
"Insurance Policy","Effective Date","Effective_Date__c","Date","Start of coverage.","",""
"Insurance Policy","Expiration Date","Expiration_Date__c","Date","Critical. Triggers ""Renew Policy"" alerts 30/60 days out.","",""
"Insurance Policy","Coverage Limit","Coverage_Limit__c","Currency(16,2)","Max payout amount.","",""
"Insurance Policy","Deductible","Deductible__c","Currency(10,2)","Wolf Feature. Tracks the ""Self-Insured Retention"" amount per claim.","",""
"Insurance Policy","Status","Status__c","Formula","IF(Expiration_Date__c < TODAY(), ""Expired"", IF(Expiration_Date__c < TODAY()+30, ""Expiring Soon"", ""Active"")).","",""
"Insurance Policy","Support Phone","Support_Phone__c","Phone","Direct line for claims (displayed to Driver in mobile app).","",""
"Insurance Policy","Policy Document","Policy_Doc_URL__c","URL","Link to the PDF contract (SharePoint/Files).","",""
"Asset Policy","Policy ID","Name","Auto-Number","AS-INS-{0000}","",""
"Asset Policy","Fleet Asset","Fleet_Asset__c","Master-Detail","The vehicle being covered.","",""
"Asset Policy","Insurance Policy","Insurance_Policy__c","Master-Detail","The policy providing the coverage.","",""
"Asset Policy","Is Active","Is_Active__c","Checkbox","Allows you to remove a car from a policy without deleting the history.","",""
