"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Equipment_Type__c","fleetforce__Firmware_Ver__c","fleetforce__Fleet_Asset__c","fleetforce__Geotab_Id__c","fleetforce__IMEI__c","fleetforce__Install_Date__c","fleetforce__Last_Ping__c","fleetforce__Manufacturer__c","fleetforce__Model__c","fleetforce__Status__c","fleetforce__Warranty_End__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a0PWm000000frLJMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0124)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn42cMAA","GEO-GO9-0124","8690410488115","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0124"
"a0PWm000000frLKMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0104)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn6SoMAI","GEO-GO9-0104","8690410488120","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0104"
"a0PWm000000frLLMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0127)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn7w8MAA","GEO-GO9-0127","8690410488124","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0127"
"a0PWm000000frLMMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0128)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn7w9MAA","GEO-GO9-0128","8690410488125","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0128"
"a0PWm000000frMvMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0133)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn42dMAA","GEO-GO9-0133","8690410488116","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0133"
"a0PWm000000frMwMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0116)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn7VgMAI","GEO-GO9-0116","8690410488122","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0116"
"a0PWm000000frMxMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0120)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8IeMAI","GEO-GO9-0120","8690410488127","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0120"
"a0PWm000000frOXMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0119)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn4VIMAY","GEO-GO9-0119","8690410488117","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0119"
"a0PWm000000frQ9MAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0118)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn5uYMAQ","GEO-GO9-0118","8690410488119","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0118"
"a0PWm000000frRlMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0115)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn6nAMAQ","GEO-GO9-0115","8690410488121","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0115"
"a0PWm000000frTNMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0130)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn7umMAA","GEO-GO9-0130","8690410488123","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0130"
"a0PWm000000frUzMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0125)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn890MAA","GEO-GO9-0125","8690410488126","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0125"
"a0PWm000000frWbMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0134)","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:48.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8IfMAI","GEO-GO9-0134","8690410488128","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0134"
"a0PWm000000frYDMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0112)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8VZMAY","GEO-GO9-0112","8690410488129","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0112"
"a0PWm000000frZpMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0135)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8aTMAQ","GEO-GO9-0135","8690410488130","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0135"
"a0PWm000000frbRMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0107)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8grMAA","GEO-GO9-0107","8690410488131","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0107"
"a0PWm000000frd3MAA","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0101)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8lfMAA","GEO-GO9-0101","8690410488132","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0101"
"a0PWm000000frefMAA","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0126)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8qWMAQ","GEO-GO9-0126","8690410488133","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0126"
"a0PWm000000frgHMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0110)","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn8tiMAA","GEO-GO9-0110","8690410488134","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0110"
