"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Asset_ID__c","fleetforce__DTC_Codes__c","fleetforce__EV_Battery__c","fleetforce__Fuel_Level__c","fleetforce__Heading__c","fleetforce__Ignition__c","fleetforce__Latitude__c","fleetforce__Longitude__c","fleetforce__Odometer__c","fleetforce__Speed__c","fleetforce__Timestamp__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name"
"a0QWm000007luE2MAI","005Wm000002EIUDIA4","RAW-FA-0132-001","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0132","#N/A","#N/A","75","180","On","33.809000000000005","-84.44800000000001","49800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007luE3MAI","005Wm000002EIUDIA4","RAW-FA-0118-002","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0118","#N/A","#N/A","72","90","On","33.945","-84.582","118512","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luNiMAI","005Wm000002EIUDIA4","RAW-FA-0122-002","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0122","#N/A","#N/A","72","90","On","33.795","-84.432","10512","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUAMAY","005Wm000002EIUDIA4","RAW-FA-0102-002","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0102","#N/A","#N/A","72","90","On","33.775000000000006","-84.41199999999999","38112","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUBMAY","005Wm000002EIUDIA4","RAW-FA-0113-002","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0113","#N/A","#N/A","72","90","On","33.845000000000006","-84.482","45612","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUCMAY","005Wm000002EIUDIA4","RAW-FA-0119-002","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0119","#N/A","#N/A","72","90","On","33.925000000000004","-84.562","34212","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUDMAY","005Wm000002EIUDIA4","RAW-FA-0121-002","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0121","#N/A","#N/A","72","90","On","33.935","-84.572","29412","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUEMAY","005Wm000002EIUDIA4","RAW-FA-0104-002","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0104","#N/A","#N/A","72","90","On","33.955000000000005","-84.592","27512","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUFMAY","005Wm000002EIUDIA4","RAW-FA-0115-002","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0115","#N/A","#N/A","72","90","On","33.965","-84.60199999999999","9812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luUGMAY","005Wm000002EIUDIA4","RAW-FA-0130-002","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0130","#N/A","#N/A","72","90","On","33.985","-84.622","11212","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lukIMAQ","005Wm000002EIUDIA4","RAW-FA-0128-001","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0128","#N/A","#N/A","75","180","On","33.999","-84.638","28900","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007luvaMAA","005Wm000002EIUDIA4","RAW-FA-0133-001","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0133","#N/A","#N/A","75","180","On","33.909","-84.548","14800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lv0QMAQ","005Wm000002EIUDIA4","RAW-FA-0131-002","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0131","#N/A","#N/A","72","90","On","33.895","-84.532","25412","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lv0RMAQ","005Wm000002EIUDIA4","RAW-FA-0118-001","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0118","#N/A","#N/A","75","180","On","33.939","-84.578","118500","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvBhMAI","005Wm000002EIUDIA4","RAW-FA-0109-001","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:49.000+0000","005Wm000002EIUDIA4","FA-0109","#N/A","#N/A","75","180","On","33.749","-84.388","15","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvDJMAY","005Wm000002EIUDIA4","RAW-FA-0109-002","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0109","#N/A","#N/A","72","90","On","33.755","-84.392","27","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvDKMAY","005Wm000002EIUDIA4","RAW-FA-0113-001","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0113","#N/A","#N/A","75","180","On","33.839000000000006","-84.47800000000001","45600","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvDLMAY","005Wm000002EIUDIA4","RAW-FA-0106-001","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0106","#N/A","#N/A","75","180","On","33.869","-84.50800000000001","11400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvDMMAY","005Wm000002EIUDIA4","RAW-FA-0130-001","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0130","#N/A","#N/A","75","180","On","33.979","-84.61800000000001","11200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvDNMAY","005Wm000002EIUDIA4","RAW-FA-0107-002","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0107","#N/A","#N/A","72","90","On","34.065000000000005","-84.702","24812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvEvMAI","005Wm000002EIUDIA4","RAW-FA-0108-002","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0108","#N/A","#N/A","72","90","On","33.765","-84.402","58212","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvGXMAY","005Wm000002EIUDIA4","RAW-FA-0102-001","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0102","#N/A","#N/A","75","180","On","33.769000000000005","-84.408","38100","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvI9MAI","005Wm000002EIUDIA4","RAW-FA-0103-001","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0103","#N/A","82","75","180","On","33.779","-84.418","8900","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvJlMAI","005Wm000002EIUDIA4","RAW-FA-0103-002","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0103","#N/A","78","72","90","On","33.785000000000004","-84.422","8912","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvLNMAY","005Wm000002EIUDIA4","RAW-FA-0122-001","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0122","#N/A","#N/A","75","180","On","33.789","-84.42800000000001","10500","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvLOMAY","005Wm000002EIUDIA4","RAW-FA-0101-001","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0101","#N/A","#N/A","75","180","On","34.069","-84.708","22400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvMzMAI","005Wm000002EIUDIA4","RAW-FA-0129-001","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0129","#N/A","#N/A","75","180","On","33.799","-84.438","47200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvN0MAI","005Wm000002EIUDIA4","RAW-FA-0129-002","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0129","P0300 - Random Misfire","#N/A","72","90","Off","33.805","-84.442","47212","0","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvN1MAI","005Wm000002EIUDIA4","RAW-FA-0123-001","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0123","#N/A","#N/A","75","180","On","33.849000000000004","-84.488","43800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvObMAI","005Wm000002EIUDIA4","RAW-FA-0132-002","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0132","#N/A","#N/A","72","90","On","33.815000000000005","-84.452","49812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvQDMAY","005Wm000002EIUDIA4","RAW-FA-0117-001","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0117","#N/A","#N/A","75","180","On","33.819","-84.458","21900","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvRpMAI","005Wm000002EIUDIA4","RAW-FA-0117-002","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:51.000+0000","005Wm000002EIUDIA4","FA-0117","#N/A","#N/A","72","90","On","33.825","-84.46199999999999","21912","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvRqMAI","005Wm000002EIUDIA4","RAW-FA-0104-001","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0104","#N/A","#N/A","75","180","On","33.949000000000005","-84.58800000000001","27500","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvTRMAY","005Wm000002EIUDIA4","RAW-FA-0111-001","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0111","#N/A","82","75","180","On","33.829","-84.468","14200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvV3MAI","005Wm000002EIUDIA4","RAW-FA-0123-002","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0123","#N/A","#N/A","72","90","On","33.855000000000004","-84.49199999999999","43812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvV4MAI","005Wm000002EIUDIA4","RAW-FA-0105-001","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0105","#N/A","#N/A","75","180","On","33.859","-84.498","41200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvWfMAI","005Wm000002EIUDIA4","RAW-FA-0106-002","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0106","P0420 - Catalyst Efficiency","#N/A","72","90","Off","33.875","-84.512","11412","0","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvWgMAI","005Wm000002EIUDIA4","RAW-FA-0110-001","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","FA-0110","#N/A","#N/A","75","180","On","34.089000000000006","-84.72800000000001","26300","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvYHMAY","005Wm000002EIUDIA4","RAW-FA-0114-001","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0114","#N/A","#N/A","75","180","On","33.879000000000005","-84.518","31400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvYIMAY","005Wm000002EIUDIA4","RAW-FA-0128-002","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0128","#N/A","#N/A","72","90","On","34.005","-84.642","28912","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvYJMAY","005Wm000002EIUDIA4","RAW-FA-0125-001","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0125","#N/A","#N/A","75","180","On","34.009","-84.64800000000001","13400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvZtMAI","005Wm000002EIUDIA4","RAW-FA-0124-001","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0124","#N/A","#N/A","75","180","On","33.899","-84.53800000000001","36700","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvZuMAI","005Wm000002EIUDIA4","RAW-FA-0124-002","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0124","#N/A","#N/A","72","90","On","33.905","-84.542","36712","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvZvMAI","005Wm000002EIUDIA4","RAW-FA-0115-001","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0115","#N/A","#N/A","75","180","On","33.959","-84.598","9800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvbVMAQ","005Wm000002EIUDIA4","RAW-FA-0133-002","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0133","#N/A","#N/A","72","90","On","33.915","-84.55199999999999","14812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvbWMAQ","005Wm000002EIUDIA4","RAW-FA-0127-002","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0127","#N/A","78","72","90","On","33.995000000000005","-84.63199999999999","22","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvd7MAA","005Wm000002EIUDIA4","RAW-FA-0119-001","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0119","#N/A","#N/A","75","180","On","33.919000000000004","-84.558","34200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvd8MAA","005Wm000002EIUDIA4","RAW-FA-0127-001","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0127","#N/A","82","75","180","On","33.989000000000004","-84.628","10","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvejMAA","005Wm000002EIUDIA4","RAW-FA-0121-001","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:54.000+0000","005Wm000002EIUDIA4","FA-0121","#N/A","#N/A","75","180","On","33.929","-84.56800000000001","29400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvgLMAQ","005Wm000002EIUDIA4","RAW-FA-0116-002","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0116","#N/A","#N/A","72","90","On","33.975","-84.612","62112","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvhxMAA","005Wm000002EIUDIA4","RAW-FA-0120-001","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0120","#N/A","#N/A","75","180","On","34.019000000000005","-84.658","18600","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvjZMAQ","005Wm000002EIUDIA4","RAW-FA-0120-002","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0120","#N/A","#N/A","72","90","On","34.025000000000006","-84.66199999999999","18612","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvjaMAA","005Wm000002EIUDIA4","RAW-FA-0134-002","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0134","#N/A","#N/A","72","90","On","34.035000000000004","-84.672","33112","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvlBMAQ","005Wm000002EIUDIA4","RAW-FA-0112-002","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0112","#N/A","#N/A","72","90","On","34.045","-84.682","12812","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvmnMAA","005Wm000002EIUDIA4","RAW-FA-0135-001","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0135","#N/A","#N/A","75","180","On","34.049","-84.688","134000","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvoPMAQ","005Wm000002EIUDIA4","RAW-FA-0135-002","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0135","#N/A","#N/A","72","90","On","34.055","-84.692","134012","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvq1MAA","005Wm000002EIUDIA4","RAW-FA-0107-001","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0107","#N/A","#N/A","75","180","On","34.059000000000005","-84.69800000000001","24800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lvrdMAA","005Wm000002EIUDIA4","RAW-FA-0101-002","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0101","#N/A","#N/A","72","90","On","34.075","-84.71199999999999","22412","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvtFMAQ","005Wm000002EIUDIA4","RAW-FA-0126-002","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0126","#N/A","#N/A","72","90","On","34.085","-84.722","22112","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lvurMAA","005Wm000002EIUDIA4","RAW-FA-0110-002","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","FA-0110","#N/A","#N/A","72","90","On","34.095000000000006","-84.732","26312","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
