"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Annual_Renewal__c","fleetforce__Compliance_State__c","fleetforce__Doc_Link__c","fleetforce__Doc_Number__c","fleetforce__Doc_Type__c","fleetforce__File_Type__c","fleetforce__Is_Required__c","fleetforce__Issuing_Authority__c","fleetforce__Jurisdiction_Type__c","fleetforce__Status__c","fleetforce__Valid_From__c","fleetforce__Valid_Until__c","fleetforce__Days_Until_Expiry__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a04Wm000000EJUDIA4","State Registration Certificate (FA-0122)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2TMAQ","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0122.pdf","REG-TX-2024-0122","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0122"
"a04Wm000000EJVpIAO","Annual DOT Safety Inspection Report (FA-0122)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2TMAQ","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990122.pdf","INSP-DOT-TX-990122","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0122"
"a04Wm000000EJVqIAO","State Registration Certificate (FA-0113)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0113.pdf","REG-CO-2024-0113","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0113"
"a04Wm000000EJVrIAO","Annual DOT Safety Inspection Report (FA-0133)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42dMAA","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990133.pdf","INSP-DOT-AZ-990133","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0133"
"a04Wm000000EJVsIAO","State Registration Certificate (FA-0127)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7w8MAA","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0127.pdf","REG-TX-2024-0127","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0127"
"a04Wm000000EJXRIA4","State Registration Certificate (FA-0129)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy79MAA","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0129.pdf","REG-AZ-2024-0129","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0129"
"a04Wm000000EJZ3IAO","Annual DOT Safety Inspection Report (FA-0129)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy79MAA","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990129.pdf","INSP-DOT-AZ-990129","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0129"
"a04Wm000000EJafIAG","Annual DOT Safety Inspection Report (FA-0132)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy7AMAQ","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990132.pdf","INSP-DOT-AZ-990132","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0132"
"a04Wm000000EJagIAG","Annual DOT Safety Inspection Report (FA-0111)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990111.pdf","INSP-DOT-CO-990111","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0111"
"a04Wm000000EJahIAG","Annual DOT Safety Inspection Report (FA-0113)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990113.pdf","INSP-DOT-CO-990113","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0113"
"a04Wm000000EJcHIAW","State Registration Certificate (FA-0117)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0117.pdf","REG-CO-2024-0117","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0117"
"a04Wm000000EJdtIAG","Annual DOT Safety Inspection Report (FA-0117)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990117.pdf","INSP-DOT-CO-990117","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0117"
"a04Wm000000EJfVIAW","State Registration Certificate (FA-0111)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0111.pdf","REG-CO-2024-0111","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0111"
"a04Wm000000EJfWIAW","State Registration Certificate (FA-0123)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0123.pdf","REG-TX-2024-0123","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0123"
"a04Wm000000EJfXIAW","Annual DOT Safety Inspection Report (FA-0125)","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","a0CWm00000xn890MAA","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990125.pdf","INSP-DOT-TX-990125","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0125"
"a04Wm000000EJh7IAG","Annual DOT Safety Inspection Report (FA-0123)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990123.pdf","INSP-DOT-TX-990123","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0123"
"a04Wm000000EJijIAG","State Registration Certificate (FA-0105)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0105.pdf","REG-GA-2024-0105","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0105"
"a04Wm000000EJikIAG","Annual DOT Safety Inspection Report (FA-0115)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990115.pdf","INSP-DOT-CO-990115","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0115"
"a04Wm000000EJilIAG","State Registration Certificate (FA-0125)","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","a0CWm00000xn890MAA","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0125.pdf","REG-TX-2024-0125","Registration","PDF","true","TX Department of Revenue / DMV","State","Expiring Soon","2024-01-01","2026-08-31","10","User User","User User","FA-0125"
"a04Wm000000EJkLIAW","Annual DOT Safety Inspection Report (FA-0105)","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:30.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990105.pdf","INSP-DOT-GA-990105","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0105"
"a04Wm000000EJkMIAW","Annual DOT Safety Inspection Report (FA-0131)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3yzMAA","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990131.pdf","INSP-DOT-AZ-990131","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0131"
"a04Wm000000EJkNIAW","Annual DOT Safety Inspection Report (FA-0118)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn5uYMAQ","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990118.pdf","INSP-DOT-CO-990118","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0118"
"a04Wm000000EJkOIAW","State Registration Certificate (FA-0134)","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:35.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IfMAI","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0134.pdf","REG-AZ-2024-0134","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0134"
"a04Wm000000EJlxIAG","State Registration Certificate (FA-0106)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0106.pdf","REG-GA-2024-0106","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0106"
"a04Wm000000EJnZIAW","Annual DOT Safety Inspection Report (FA-0106)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990106.pdf","INSP-DOT-GA-990106","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0106"
"a04Wm000000EJnaIAG","Annual DOT Safety Inspection Report (FA-0107)","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8grMAA","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990107.pdf","INSP-DOT-GA-990107","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0107"
"a04Wm000000EJpBIAW","State Registration Certificate (FA-0114)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0114.pdf","REG-CO-2024-0114","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0114"
"a04Wm000000EJqnIAG","Annual DOT Safety Inspection Report (FA-0114)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990114.pdf","INSP-DOT-CO-990114","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0114"
"a04Wm000000EJsPIAW","State Registration Certificate (FA-0131)","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:31.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3yzMAA","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0131.pdf","REG-AZ-2024-0131","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0131"
"a04Wm000000EJu1IAG","State Registration Certificate (FA-0124)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0124.pdf","REG-TX-2024-0124","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0124"
"a04Wm000000EJu2IAG","State Registration Certificate (FA-0135)","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8aTMAQ","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0135.pdf","REG-AZ-2024-0135","Registration","PDF","true","AZ Department of Revenue / DMV","State","Expired","2024-01-01","2025-12-31","-233","User User","User User","FA-0135"
"a04Wm000000EJvdIAG","Annual DOT Safety Inspection Report (FA-0124)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990124.pdf","INSP-DOT-TX-990124","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0124"
"a04Wm000000EJxFIAW","State Registration Certificate (FA-0119)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0119.pdf","REG-TX-2024-0119","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0119"
"a04Wm000000EJyrIAG","Annual DOT Safety Inspection Report (FA-0119)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990119.pdf","INSP-DOT-TX-990119","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0119"
"a04Wm000000EJysIAG","Annual DOT Safety Inspection Report (FA-0121)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","true","TX","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-TX-990121.pdf","INSP-DOT-TX-990121","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0121"
"a04Wm000000EJytIAG","State Registration Certificate (FA-0118)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn5uYMAQ","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0118.pdf","REG-CO-2024-0118","Registration","PDF","true","CO Department of Revenue / DMV","State","Expired","2024-01-01","2025-12-31","-233","User User","User User","FA-0118"
"a04Wm000000EK0TIAW","State Registration Certificate (FA-0121)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","true","TX","https://www.fleetforce-demo.com/docs/reg/REG-TX-2024-0121.pdf","REG-TX-2024-0121","Registration","PDF","true","TX Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0121"
"a04Wm000000EK25IAG","State Registration Certificate (FA-0104)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0104.pdf","REG-GA-2024-0104","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0104"
"a04Wm000000EK26IAG","Annual DOT Safety Inspection Report (FA-0134)","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IfMAI","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990134.pdf","INSP-DOT-AZ-990134","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0134"
"a04Wm000000EK3hIAG","Annual DOT Safety Inspection Report (FA-0104)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990104.pdf","INSP-DOT-GA-990104","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0104"
"a04Wm000000EK3iIAG","State Registration Certificate (FA-0112)","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0112.pdf","REG-CO-2024-0112","Registration","PDF","true","CO Department of Revenue / DMV","State","Expiring Soon","2024-01-01","2026-08-31","10","User User","User User","FA-0112"
"a04Wm000000EK5JIAW","State Registration Certificate (FA-0115)","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:33.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0115.pdf","REG-CO-2024-0115","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0115"
"a04Wm000000EK6vIAG","State Registration Certificate (FA-0116)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","true","CO","https://www.fleetforce-demo.com/docs/reg/REG-CO-2024-0116.pdf","REG-CO-2024-0116","Registration","PDF","true","CO Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0116"
"a04Wm000000EK8XIAW","Annual DOT Safety Inspection Report (FA-0116)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","true","CO","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-CO-990116.pdf","INSP-DOT-CO-990116","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0116"
"a04Wm000000EK8YIAW","Annual DOT Safety Inspection Report (FA-0135)","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:36.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8aTMAQ","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990135.pdf","INSP-DOT-AZ-990135","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0135"
"a04Wm000000EKA9IAO","State Registration Certificate (FA-0130)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7umMAA","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0130.pdf","REG-AZ-2024-0130","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0130"
"a04Wm000000EKBlIAO","Annual DOT Safety Inspection Report (FA-0130)","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:34.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7umMAA","true","AZ","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-AZ-990130.pdf","INSP-DOT-AZ-990130","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0130"
