"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","LastActivityDate","fleetforce__Agreement_Line__c","fleetforce__Agreement__c","fleetforce__Asset_ID__c","fleetforce__Battery_Capacity_kWh__c","fleetforce__Body_Type__c","fleetforce__Branch__c","fleetforce__Color__c","fleetforce__Drive_Type__c","fleetforce__Driver__c","fleetforce__Engine_Type__c","fleetforce__Fuel_Capacity__c","fleetforce__Fuel_Energy_Level__c","fleetforce__Fuel_Type__c","fleetforce__Gross_Weight__c","fleetforce__Height__c","fleetforce__Is_Active__c","fleetforce__Key_Tag_ID__c","fleetforce__Last_Location__Latitude__s","fleetforce__Last_Location__Longitude__s","fleetforce__License_Plate__c","fleetforce__Max_Range__c","fleetforce__Odometer__c","fleetforce__Ownership__c","fleetforce__Paint_Name__c","fleetforce__Purchase_Date__c","fleetforce__Purchase_Price__c","fleetforce__Registered_State__c","fleetforce__Residual_Value__c","fleetforce__Seat_Count__c","fleetforce__Serial__c","fleetforce__Status__c","fleetforce__Transmission__c","fleetforce__VIN__c","fleetforce__Vehicle_Class__c","fleetforce__Vendor__c","fleetforce__Total_Maintenance_Cost__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Agreement_Line__r.Name","fleetforce__Agreement__r.Name","fleetforce__Branch__r.fleetforce__Branch_ID__c","fleetforce__Driver__r.Email"
"a0CWm00000xn1BHMAY","005Wm000002EIUDIA4","2022 Ford Transit-250 Medium Roof","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","a01Wm00000K9NTJIA3","FA-0123","#N/A","Van","a0DWm000002RWvVMAW","White","RWD","003Wm00000GG8GaIAL","ICE","16","49","Gasoline","8600","7.15","true","KT-123","32.774417","-96.770474","TX-388WZ","440","43800","Leased","Oxford White","2022-10-30","41500","TX","19920","2","SN-2022-0123-6163","Assigned","Automatic","1FTVARW4XNK001022","Commercial","001Wm00000K86eIIAR","368.36","User User","User User","User User","#N/A","MLA-2024-PINN-001","BR-DAL","derrick.oconnor@fleetforce-demo.com"
"a0CWm00000xn3SnMAI","005Wm000002EIUDIA4","2022 Ram ProMaster 2500 High Roof","2026-08-18T20:47:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","#N/A","a00Wm000008mQd9IAE","a01Wm00000K9KyXIAV","FA-0105","#N/A","Van","a0DWm000002RWttMAG","White","FWD","003Wm00000GG6DBIA1","ICE","16","81","Gasoline","8600","7.15","true","KT-105","33.762085","-84.384353","GA-215EH","440","41200","Leased","Bright White Clearcoat","2022-11-04","43500","GA","20880","2","SN-2022-0105-6148","Assigned","Automatic","3C6VAFW41NK001004","Commercial","001Wm00000K86eIIAR","120","User User","User User","User User","LINE-010 (2022 Ram ProMaster 2500 H)","MLA-2024-APEX-002","BR-ATL","carlos.gomez@fleetforce-demo.com"
"a0CWm00000xn3SoMAI","005Wm000002EIUDIA4","2024 Toyota Camry LE","2026-08-18T20:47:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0106","#N/A","Sedan","a0DWm000002RWttMAG","Gray","FWD","003Wm00000GG97mIAD","ICE","16","40","Gasoline","3850","4.75","true","KT-106","33.730422","-84.360695","GA-542FI","520","11400","Owned","Magnetic Gray Metallic","2024-01-15","27500","GA","#N/A","5","SN-2024-0106-6038","Assigned","Automatic","4T1SEFW47RK001005","Standard","001Wm00000K86eIIAR","230.25","User User","User User","User User","#N/A","#N/A","BR-ATL","brooke.sullivan@fleetforce-demo.com"
"a0CWm00000xn3shMAA","005Wm000002EIUDIA4","2023 Chevrolet Tahoe Commercial 4WD","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0114","#N/A","SUV","a0DWm000002RVmiMAG","Black","4WD","003Wm00000GG4swIAD","ICE","16","91","Gasoline","7500","6.35","true","KT-114","39.727208","-104.962955","CO-321NQ","480","31400","Owned","Black Onyx","2023-03-22","59000","CO","#N/A","8","SN-2023-0114-5820","Assigned","Automatic","1GCSU4W45PK001013","Full Size","001Wm00000K86eIIAR","323.75","User User","User User","User User","#N/A","#N/A","BR-DEN","tariq.mansour@fleetforce-demo.com"
"a0CWm00000xn3yzMAA","005Wm000002EIUDIA4","2023 Chevrolet Malibu LT","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:27.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0131","#N/A","Sedan","a0DWm000002RWx7MAG","Gray","FWD","#N/A","ICE","16","45","Gasoline","3850","4.75","true","KT-131","33.422405","-112.090029","AZ-414EH","520","25400","Owned","Shadow Gray Metallic","2023-09-12","26800","AZ","#N/A","5","SN-2023-0131-2185","Available","CVT","1GCSEFW44PK001030","Standard","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","#N/A"
"a0CWm00000xn42cMAA","005Wm000002EIUDIA4","2023 Chevrolet Express 2500 Cargo","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0124","#N/A","Van","a0DWm000002RWvVMAW","White","RWD","003Wm00000GG9J5IAL","ICE","16","37","Gasoline","8600","7.15","true","KT-124","32.804593","-96.790444","TX-235XA","440","36700","Owned","Summit White","2023-04-18","39500","TX","#N/A","2","SN-2023-0124-5311","Assigned","Automatic","1GCVARW44PK001023","Commercial","001Wm00000K86eIIAR","471.13","User User","User User","User User","#N/A","#N/A","BR-DAL","aaliyah.jackson@fleetforce-demo.com"
"a0CWm00000xn42dMAA","005Wm000002EIUDIA4","2024 Ford Ranger XLT 4WD","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:28.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0133","#N/A","Pickup","a0DWm000002RWx7MAG","Blue","4WD","003Wm00000GG3vGIAT","ICE","24","62","Gasoline","6050","6.1","true","KT-133","33.423427","-112.094965","AZ-597GJ","460","14800","Owned","Atlas Blue Metallic","2024-05-02","37500","AZ","#N/A","5","SN-2024-0133-1026","Assigned","Automatic","1FTP4W4A6RK001032","Standard","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","isabella.santos@fleetforce-demo.com"
"a0CWm00000xn4VIMAY","005Wm000002EIUDIA4","2023 Ford F-250 Super Duty XLT","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-19T07:10:59.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0119","#N/A","Truck","a0DWm000002RWvVMAW","White","4WD","#N/A","Diesel","24","60","Diesel","14000","6.85","true","KT-119","32.806551","-96.816038","TX-548SV","510","34200","Owned","Oxford White","2023-02-14","58500","TX","#N/A","5","SN-2023-0119-8328","Available","Automatic","1FTTR4W40PK001018","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-DAL","#N/A"
"a0CWm00000xn4VJMAY","005Wm000002EIUDIA4","2023 Mercedes-Benz Sprinter 2500","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","a01Wm00000K9NTJIA3","FA-0121","#N/A","Van","a0DWm000002RWvVMAW","Silver","RWD","003Wm00000GG3C4IAL","Diesel","16","48","Diesel","9500","8.85","true","KT-121","32.763689","-96.794939","TX-923UX","460","29400","Leased","Iridium Silver Metallic","2023-07-11","53000","TX","25440","2","SN-2023-0121-2146","Assigned","Automatic","WD4VARW41PK001020","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","MLA-2024-PINN-001","BR-DAL","sophia.alvarez@fleetforce-demo.com"
"a0CWm00000xn5uYMAQ","005Wm000002EIUDIA4","2019 Ford Transit-150 (Retired)","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:25.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0118","#N/A","Van","a0DWm000002RVmiMAG","White","RWD","#N/A","ICE","16","74","Gasoline","8600","7.15","false","KT-118","39.766761","-104.986967","CO-729RU","440","118500","Owned","Oxford White","2019-06-15","36000","CO","#N/A","2","SN-2019-0118-2048","Retired","Automatic","1FTVARW41KK001017","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-DEN","#N/A"
"a0CWm00000xn6SoMAI","005Wm000002EIUDIA4","2023 Chevrolet Silverado 1500 LT","2026-08-18T20:47:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0104","#N/A","Pickup","a0DWm000002RWttMAG","Black","4WD","#N/A","ICE","24","64","Gasoline","7100","6.45","true","KT-104","33.736328","-84.416823","GA-941DG","490","27500","Financed","Black Onyx","2023-06-25","48200","GA","#N/A","5","SN-2023-0104-1562","Available","Automatic","1GCP4W4AXPK001003","Commercial","001Wm00000K86eIIAR","634.75","User User","User User","User User","#N/A","#N/A","BR-ATL","#N/A"
"a0CWm00000xn6nAMAQ","005Wm000002EIUDIA4","2024 Honda Accord EX","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0115","#N/A","Sedan","a0DWm000002RVmiMAG","Silver","FWD","003Wm00000GG8d9IAD","ICE","16","94","Gasoline","3850","4.75","true","KT-115","39.743512","-104.99102","CO-378OR","520","9800","Owned","Lunar Silver Metallic","2024-02-28","29800","CO","#N/A","5","SN-2024-0115-8115","Assigned","CVT","1HGSEFW40RK001014","Standard","001Wm00000K86eIIAR","284.45","User User","User User","User User","#N/A","#N/A","BR-DEN","hannah.lindqvist@fleetforce-demo.com"
"a0CWm00000xn7VgMAI","005Wm000002EIUDIA4","2022 Ford F-350 Super Duty Diesel","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0116","#N/A","Truck","a0DWm000002RVmiMAG","Red","4WD","#N/A","Diesel","24","48","Diesel","14000","6.85","true","KT-116","39.715278","-104.985457","CO-473PS","510","62100","Financed","Race Red","2022-04-10","68000","CO","#N/A","3","SN-2022-0116-8984","Available","Automatic","1FTTR4W49NK001015","Commercial","001Wm00000K86eIIAR","1458","User User","User User","User User","#N/A","#N/A","BR-DEN","#N/A"
"a0CWm00000xn7umMAA","005Wm000002EIUDIA4","2024 Hyundai Tucson Hybrid","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:27.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0130","2","SUV","a0DWm000002RWx7MAG","Silver","AWD","003Wm00000GGAOoIAP","Hybrid","16","94","Hybrid","4650","5.65","true","KT-130","33.470143","-112.063341","AZ-584DG","520","11200","Owned","Shimmering Silver","2024-02-14","33500","AZ","#N/A","5","SN-2024-0130-6199","Assigned","Automatic","5NMSUAW49RK001029","Compact","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","zoe.kaufman@fleetforce-demo.com"
"a0CWm00000xn7w8MAA","005Wm000002EIUDIA4","2025 Chevrolet Silverado EV (On Order)","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:26.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0127","140","Pickup","a0DWm000002RWvVMAW","Black","AWD","#N/A","Electric","#N/A","62","Electric","7100","6.45","false","KT-127","32.784762","-96.793737","TX-343AD","390","10","Owned","Black Onyx","2026-08-01","62000","TX","#N/A","5","SN-2025-0127-2375","Ordered","Automatic","1GCPAW4A9SK001026","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-DAL","#N/A"
"a0CWm00000xn7w9MAA","005Wm000002EIUDIA4","2023 Ford F-150 Lariat 4WD","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:27.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0128","#N/A","Pickup","a0DWm000002RWx7MAG","White","4WD","#N/A","ICE","24","77","Gasoline","7100","6.45","true","KT-128","33.42457","-112.060552","AZ-696BE","490","28900","Owned","Oxford White","2023-03-10","52000","AZ","#N/A","5","SN-2023-0128-5591","Available","Automatic","1FTP4W4A6PK001027","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","#N/A"
"a0CWm00000xn890MAA","005Wm000002EIUDIA4","2024 Ford F-150 STX 4WD","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:26.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0125","#N/A","Pickup","a0DWm000002RWvVMAW","Gray","4WD","#N/A","ICE","24","36","Gasoline","7100","6.45","true","KT-125","32.757302","-96.78562","TX-297YB","490","13400","Owned","Carbonized Gray Metallic","2024-03-15","45000","TX","#N/A","5","SN-2024-0125-2432","Available","Automatic","1FTP4W4A7RK001024","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-DAL","#N/A"
"a0CWm00000xn8IeMAI","005Wm000002EIUDIA4","2024 Chevrolet Silverado 2500HD","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0120","#N/A","Truck","a0DWm000002RWvVMAW","White","4WD","003Wm00000GGAQPIA5","Diesel","24","70","Diesel","14000","6.85","true","KT-120","32.750794","-96.811136","TX-161TW","510","18600","Financed","Summit White","2024-01-20","61200","TX","#N/A","5","SN-2024-0120-7458","Assigned","Automatic","1GCTR4W45RK001019","Commercial","001Wm00000K86eIIAR","253.09","User User","User User","User User","#N/A","#N/A","BR-DAL","wyatt.travis@fleetforce-demo.com"
"a0CWm00000xn8IfMAI","005Wm000002EIUDIA4","2023 GMC Savana 2500 Cargo","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:28.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0134","#N/A","Van","a0DWm000002RWx7MAG","White","RWD","#N/A","ICE","16","69","Gasoline","8600","7.15","true","KT-134","33.453972","-112.068517","AZ-913HK","440","33100","Owned","Summit White","2023-08-09","40000","AZ","#N/A","2","SN-2023-0134-4024","Available","Automatic","1GTVARW47PK001033","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","#N/A"
"a0CWm00000xn8VZMAY","005Wm000002EIUDIA4","2024 Toyota RAV4 Hybrid XLE","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0112","2.5","SUV","a0DWm000002RVmiMAG","Gray","AWD","003Wm00000GFwVbIAL","Hybrid","16","42","Hybrid","4650","5.65","true","KT-112","39.746728","-104.976171","CO-998LO","580","12800","Owned","Magnetic Gray Metallic","2024-03-08","34500","CO","#N/A","5","SN-2024-0112-8816","Assigned","CVT","4T1SUAW45RK001011","Compact","001Wm00000K86eIIAR","273.44","User User","User User","User User","#N/A","#N/A","BR-DEN","chloe.bennett@fleetforce-demo.com"
"a0CWm00000xn8aTMAQ","005Wm000002EIUDIA4","2018 Chevrolet Express (Decommissioned)","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-18T21:05:28.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0135","#N/A","Van","a0DWm000002RWx7MAG","White","RWD","#N/A","ICE","16","94","Gasoline","8600","7.15","false","KT-135","33.467147","-112.059519","AZ-538IL","440","134000","Owned","Summit White","2018-04-10","32000","AZ","#N/A","2","SN-2018-0135-1512","Decommissioned","Automatic","1GCVARW4XJK001034","Commercial","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-PHX","#N/A"
"a0CWm00000xn8grMAA","005Wm000002EIUDIA4","2023 Ford Explorer XLT","2026-08-18T20:47:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0107","#N/A","SUV","a0DWm000002RWttMAG","Blue","AWD","#N/A","ICE","16","93","Gasoline","4650","5.65","true","KT-107","33.746216","-84.364025","GA-232GJ","450","24800","Owned","Atlas Blue Metallic","2023-08-20","39500","GA","#N/A","7","SN-2023-0107-8212","Available","Automatic","1FTSUAW43PK001006","Standard","001Wm00000K86eIIAR","826.2","User User","User User","User User","#N/A","#N/A","BR-ATL","#N/A"
"a0CWm00000xn8lfMAA","005Wm000002EIUDIA4","2023 Ford F-150 XLT SuperCrew","2026-08-18T20:47:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:53.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0101","#N/A","Pickup","a0DWm000002RWttMAG","White","4WD","#N/A","ICE","24","70","Gasoline","7100","6.45","true","KT-101","33.752785","-84.385606","GA-362AD","490","22400","Owned","Oxford White","2023-04-12","46500","GA","#N/A","5","SN-2023-0101-2513","Available","Automatic","1FTP4W4A8PK001000","Commercial","001Wm00000K86eIIAR","297.7","User User","User User","User User","#N/A","#N/A","BR-ATL","#N/A"
"a0CWm00000xn8qWMAQ","005Wm000002EIUDIA4","2023 Toyota Highlander Hybrid","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0126","2.8","SUV","a0DWm000002RWvVMAW","Silver","AWD","003Wm00000GG4GEIA1","Hybrid","16","53","Hybrid","4650","5.65","true","KT-126","32.787036","-96.786594","TX-113ZC","600","22100","Owned","Celestial Silver Metallic","2023-11-19","44000","TX","#N/A","7","SN-2023-0126-2105","Assigned","CVT","4T1SUAW49PK001025","Full Size","001Wm00000K86eIIAR","235.6","User User","User User","User User","#N/A","#N/A","BR-DAL","lucas.moreno@fleetforce-demo.com"
