"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Install_Date__c","fleetforce__Monthly_Cost__c","fleetforce__Ownership_Type__c","fleetforce__Parent_Component__c","fleetforce__Purchase_Price__c","fleetforce__Serial_Number__c","fleetforce__Status__c","fleetforce__Subscription_End__c","fleetforce__Subscription_Start__c","fleetforce__Type__c","fleetforce__Uninstall_Date__c","fleetforce__Vendor__c","fleetforce__Warranty_End__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Parent_Component__r.Name"
"a03Wm00000GHGtaIAH","005Wm000002EIUDIA4","EV Battery Pack 75kWh (FA-0127)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7w8MAA","2024-01-01","#N/A","OEM Bundled","#N/A","14500","SN-BAT-EV-0127","Active","#N/A","#N/A","Battery","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0127","#N/A"
"a03Wm00000GHGtbIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0112)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0112","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0112","#N/A"
"a03Wm00000GHHL0IAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0102)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0102","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0102","#N/A"
"a03Wm00000GHHL1IAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0134)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IfMAI","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0134","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0134","#N/A"
"a03Wm00000GHHRSIA5","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0126)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8qWMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0126","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0126","#N/A"
"a03Wm00000GHHUfIAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0109)","2026-08-19T20:42:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:21.000+0000","005Wm000002EIUDIA4","a0CWm00000xmuPbMAI","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0109","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0109","#N/A"
"a03Wm00000GHHWHIA5","005Wm000002EIUDIA4","EV Battery Pack 75kWh (FA-0103)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","14500","SN-BAT-EV-0103","Active","#N/A","#N/A","Battery","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0103","#N/A"
"a03Wm00000GHHWIIA5","005Wm000002EIUDIA4","Heavy Duty Turbo Diesel Engine (FA-0121)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","2024-01-01","#N/A","OEM Bundled","#N/A","12800","SN-ENG-DSL-0121","Active","#N/A","#N/A","Engine","#N/A","001Wm00000K8LJuIAN","2028-12-31","User User","User User","User User","FA-0121","#N/A"
"a03Wm00000GHHXtIAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0122)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2TMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0122","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0122","#N/A"
"a03Wm00000GHHXuIAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0131)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3yzMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0131","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0131","#N/A"
"a03Wm00000GHHZVIA5","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0132)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy7AMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0132","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0132","#N/A"
"a03Wm00000GHHb7IAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0117)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0117","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0117","#N/A"
"a03Wm00000GHHcjIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0113)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0113","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0113","#N/A"
"a03Wm00000GHHckIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0114)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0114","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0114","#N/A"
"a03Wm00000GHHeLIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0123)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0123","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0123","#N/A"
"a03Wm00000GHHeNIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0107)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8grMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0107","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0107","#N/A"
"a03Wm00000GHHeOIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0101)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8lfMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0101","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0101","#N/A"
"a03Wm00000GHHfxIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0106)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0106","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0106","#N/A"
"a03Wm00000GHHfyIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0118)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn5uYMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0118","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0118","#N/A"
"a03Wm00000GHHhZIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0124)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0124","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0124","#N/A"
"a03Wm00000GHHhaIAH","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0135)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8aTMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0135","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0135","#N/A"
"a03Wm00000GHHjBIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0133)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42dMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0133","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0133","#N/A"
"a03Wm00000GHHknIAH","005Wm000002EIUDIA4","Heavy Duty Turbo Diesel Engine (FA-0116)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","2024-01-01","#N/A","OEM Bundled","#N/A","12800","SN-ENG-DSL-0116","Active","#N/A","#N/A","Engine","#N/A","001Wm00000K8LJuIAN","2028-12-31","User User","User User","User User","FA-0116","#N/A"
"a03Wm00000GHHmPIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0130)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7umMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0130","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0130","#N/A"
"a03Wm00000GHHo1IAH","005Wm000002EIUDIA4","Heavy Duty Turbo Diesel Engine (FA-0120)","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:26.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IeMAI","2024-01-01","#N/A","OEM Bundled","#N/A","12800","SN-ENG-DSL-0120","Active","#N/A","#N/A","Engine","#N/A","001Wm00000K8LJuIAN","2028-12-31","User User","User User","User User","FA-0120","#N/A"
