"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Cert_Number__c","fleetforce__Date_Added__c","fleetforce__Fleet_Asset__c","fleetforce__Insurance_Policy__c","fleetforce__Is_Active__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Insurance_Policy__r.Name"
"a05Wm000002fDL9IAM","INS-LINK-FA-0131","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0131","2024-01-01","a0CWm00000xn3yzMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0131","POL-2024-TRV-001"
"a05Wm000002fDMjIAM","INS-LINK-FA-0103","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0103","2024-01-01","a0CWm00000xmy2SMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0103","POL-2024-TRV-001"
"a05Wm000002fDOLIA2","INS-LINK-FA-0122","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0122","2024-01-01","a0CWm00000xmy2TMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0122","POL-2024-TRV-001"
"a05Wm000002fDOMIA2","INS-LINK-FA-0129","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0129","2024-01-01","a0CWm00000xmy79MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0129","POL-2024-TRV-001"
"a05Wm000002fDONIA2","INS-LINK-FA-0113","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0113","2024-01-01","a0CWm00000xn134MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0113","POL-2024-TRV-001"
"a05Wm000002fDPxIAM","INS-LINK-FA-0117","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0117","2024-01-01","a0CWm00000xn0gZMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0117","POL-2024-TRV-001"
"a05Wm000002fDRZIA2","INS-LINK-FA-0123","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0123","2024-01-01","a0CWm00000xn1BHMAY","a0HWm0000006fIDMAY","true","User User","User User","FA-0123","POL-2024-TRV-001"
"a05Wm000002fDRaIAM","INS-LINK-FA-0119","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0119","2024-01-01","a0CWm00000xn4VIMAY","a0HWm0000006fIDMAY","true","User User","User User","FA-0119","POL-2024-TRV-001"
"a05Wm000002fDRbIAM","INS-LINK-FA-0121","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0121","2024-01-01","a0CWm00000xn4VJMAY","a0HWm0000006fIDMAY","true","User User","User User","FA-0121","POL-2024-TRV-001"
"a05Wm000002fDTBIA2","INS-LINK-FA-0105","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0105","2024-01-01","a0CWm00000xn3SnMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0105","POL-2024-TRV-001"
"a05Wm000002fDTCIA2","INS-LINK-FA-0118","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0118","2024-01-01","a0CWm00000xn5uYMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0118","POL-2024-TRV-001"
"a05Wm000002fDTDIA2","INS-LINK-FA-0115","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0115","2024-01-01","a0CWm00000xn6nAMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0115","POL-2024-TRV-001"
"a05Wm000002fDTEIA2","INS-LINK-FA-0128","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0128","2024-01-01","a0CWm00000xn7w9MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0128","POL-2024-TRV-001"
"a05Wm000002fDTFIA2","INS-LINK-FA-0134","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0134","2024-01-01","a0CWm00000xn8IfMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0134","POL-2024-TRV-001"
"a05Wm000002fDUnIAM","INS-LINK-FA-0106","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0106","2024-01-01","a0CWm00000xn3SoMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0106","POL-2024-TRV-001"
"a05Wm000002fDUoIAM","INS-LINK-FA-0110","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0110","2024-01-01","a0CWm00000xn8tiMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0110","POL-2024-TRV-001"
"a05Wm000002fDWPIA2","INS-LINK-FA-0133","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0133","2024-01-01","a0CWm00000xn42dMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0133","POL-2024-TRV-001"
"a05Wm000002fDY1IAM","INS-LINK-FA-0104","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0104","2024-01-01","a0CWm00000xn6SoMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0104","POL-2024-TRV-001"
"a05Wm000002fDZdIAM","INS-LINK-FA-0125","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0125","2024-01-01","a0CWm00000xn890MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0125","POL-2024-TRV-001"
"a05Wm000002fDZeIAM","INS-LINK-FA-0120","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0120","2024-01-01","a0CWm00000xn8IeMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0120","POL-2024-TRV-001"
"a05Wm000002fDbFIAU","INS-LINK-FA-0135","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0135","2024-01-01","a0CWm00000xn8aTMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0135","POL-2024-TRV-001"
"a05Wm000002fDcrIAE","INS-LINK-FA-0126","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0126","2024-01-01","a0CWm00000xn8qWMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0126","POL-2024-TRV-001"
